epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1990.67,0.38386,0.58215,0.87493,0.99841,0.5,0.66333,0.60959,0.46396,1.49487,0.91671,0.000159745,0.000159745,0.000159745
88,1997.13,0.56635,0.59336,0.92164,0.38113,0.89939,0.58,0.53048,0.4774,1.54656,0.91619,0.000150836,0.000150836,0.000150836
89,2004.15,0.40991,0.57128,0.8965,0.38113,0.89939,0.58,0.53048,0.4774,1.54656,0.91619,0.00014168,0.00014168,0.00014168
90,2011.06,0.39303,0.54332,0.92608,0.38113,0.89939,0.58,0.53048,0.4774,1.54656,0.91619,0.000132276,0.000132276,0.000132276
91,2017.2,0.38872,0.6254,0.87291,0.38113,0.89939,0.58,0.53048,0.4774,1.54656,0.91619,0.000122625,0.000122625,0.000122625
92,2023.89,0.36659,0.65159,0.88122,0.39842,0.92188,0.58,0.522,0.44275,1.57921,0.90337,0.000112726,0.000112726,0.000112726
93,2030.02,0.40887,0.59897,0.92585,0.39842,0.92188,0.58,0.522,0.44275,1.57921,0.90337,0.00010258,0.00010258,0.00010258
94,2036.33,0.35955,0.62812,0.89665,0.39842,0.92188,0.58,0.522,0.44275,1.57921,0.90337,9.21862e-05,9.21862e-05,9.21862e-05
95,2042.29,0.366,0.60121,0.84722,0.39842,0.92188,0.58,0.522,0.44275,1.57921,0.90337,8.1545e-05,8.1545e-05,8.1545e-05
96,2048.48,0.46125,0.7258,0.95741,0.40711,0.92761,0.58,0.53049,0.41758,1.61302,0.89331,7.06563e-05,7.06563e-05,7.06563e-05
97,2054.71,0.36077,0.64057,0.85726,0.40711,0.92761,0.58,0.53049,0.41758,1.61302,0.89331,5.952e-05,5.952e-05,5.952e-05
98,2060.89,0.36099,0.68396,0.96974,0.40711,0.92761,0.58,0.53049,0.41758,1.61302,0.89331,4.81363e-05,4.81363e-05,4.81363e-05
99,2067.02,0.34651,0.57895,0.82284,0.40711,0.92761,0.58,0.53049,0.41758,1.61302,0.89331,3.6505e-05,3.6505e-05,3.6505e-05
100,2073.07,0.35787,0.57024,0.87323,0.41441,0.93188,0.58,0.5305,0.40566,1.61011,0.89025,2.46263e-05,2.46263e-05,2.46263e-05
